aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
16,2130706432,22,0,0,0,0,0,0,3320,3210,1198,0,0,0,1418,0,0,0,344,1016,5396,3238,4972,1126,0,0,0,0,28,62,0,0,0,0,0,0,0,0,7728,0,88,100,822,230,2,382,6104,0,0,0,5824,720,156,62,236,42,474,44,22,148,10742,0,0,0,0,1418,208,1704,3244,,,,4720,17,10742,10742,12010,30,0,986,10480,7798,1209600,470,2,4,0,3435.84,0,3145.92,2,10,0,0,2704,2838,1218,798,170,0,0,0,2,6,10742,1254,28,26,16,130,578,4640,1000,56,0,34,136,3690,8,0,0,0,0,3696,46,48,0,0,0,0,0,0,0,0,304,0,0,0,0,102,36,5260,530,4204,16,0,0,0,0.94,62,4656,2818,100,16,30,46,32,30,0,0,2,8
588968,,,0,0,0,0,0,0,357146,15971638,50483018,11404814,60968,0,42270266,38824,1624,,156,214,73103576,68702912,6399038,3824514,0,0,0,0,0,0,0,0,0,0,0,1924414,45347902,24677084,6328184,0,53490,40282,67154,273422,40191826,37635818,15544,44,4,0,29378580,12554362,7567820,5676620,4646894,5267572,11880622,1305114,0,0,79504638,56,62,134,0,42270266,790408,3200574,3171276,95740,171840,150880,124220,588968.64,79504638,79504638,79148556,569538,2038,,793180,78277584,1209600,0,,,,72272904.96,0,5940917.76,0,0,0,0,25538,3959706,33925202,36100446,3861708,326318,76622,2044,,0,79504638,42308,8542,4724174,2762078,8768236,60072104,1882034,18106,2,0,,,,,,,,,,238,106,,,,,,,,,339476,176,50,0,0,2340,414,69660,13758,0,0,0,0,,14504.78,16884,6293768,11024986,9100448,4843778,9159152,8653638,9698704,8336632,10952456,214022,0,0
62,20,20,0,0,0,0,0,0,818,6690,2008,0,0,0,2982,0,0,0,0,0,9366,6174,14514,498,0,0,0,0,14,152,0,0,0,0,0,0,0,246,9270,0,378,38,48,182,866,492,7512,0,0,0,6294,1442,496,258,150,80,488,176,18,114,23918,0,8,0,0,2982,280,12054,2440,,,,14260,61.46,23918,23918,24504,40,18,2228,23580,9574,1209600,718,4,0,0,6009.6,0,2506.56,0,22,0,0,20,4272,4070,744,356,54,0,0,0,58,23918,1092,28,214,296,422,1270,4396,1734,64,0,20,290,6230,58,0,0,0,0,6364,46,122,0,0,0,0,0,0,0,0,262,0,0,122,20,364,78,32160,3216,13848,10,0,0,0,395.5,90,3804,3170,954,252,620,314,74,328,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6280,40432.43,2537146,2537146,2536598,16818,344,9254,113160,2384370,1209600,66224,0,52,0,2105446.08,0,275952,0,0,0,0,2878,52778,727074,1348858,240358,9812,2452,160,4,14,2537146,4102,592,7702,162160,128864,1681120,392608,6960,262,0,248,270,2114176,37354,0,2,0,42,2119056,1164,176,0,0,0,0,0,0,0,0,12934,32538,6510,0,0,80742,13896,14580,2650,42202,9120,0,0,752140,1610.88,840,291324,378014,266328,122986,238032,208058,181012,183690,513940,986,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247060,17420,39392.32,3735306,3735306,3737214,17653,2260,4352,96740,3473488,1209600,124912,2,190,0,2765162.88,21432.96,683511.36,0,0,0,0,0,539372,1713514,1066708,134576,16798,2460,60,2,10,3735306,6784,1098,134678,487686,233034,2041576,549994,18484,154,0,722,734,2650272,50656,0,12446,0,22,2806672,4108,238,0,0,110,21504,0,0,0,0,25276,42300,6592,0,0,98858,17028,269140,34620,67976,4934,0,0,296790,1793.54,2080,748520,1001720,464606,210630,378668,340186,183222,76386,68778,772,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310700,15760,8.65,30056,30056,30532,19,672,2886,29800,5102,1209600,0,,,,1786.56,0,2387.52,,,0,0,0,810,3460,604,228,0,0,0,,10,30056,954,12,20,10,652,1154,1978,322,0,0,,,,,,,,,,28,68,0,0,0,0,0,0,0,0,172,0,0,130,142,48,16,4960,940,13870,10,0,0,0,,,3486,1426,30,28,70,60,2,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311040,127960,97945.74,6560782,6560782,,50180,,,499080,,1209600,,,,,5603538.24,0,654376.32,,,0,0,26840,740284,2812208,2114360,505544,54582,8954,238,,,6560782,6476,1480,190930,341866,599032,4517458,595876,9890,2,0,,,,,,,,,,,,,,,,,,,,48542,,,,,,,,,,,,,,,,678190,1219918,870694,445310,889584,685478,570706,415786,483090,4254,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410800,257800,64690.12,6881172,6881172,6836468,36091,62878,73044,820580,5597760,1209600,168844,2,340,0,4057050.24,0,1537751.04,108,1530,0,0,0,18862,1241308,2974312,1272734,80066,9818,660,966,984,6881172,9054,1186,180092,981824,365654,2811964,1218518,29124,344,0,3904,3536,4008246,38366,0,698,0,10,4173114,7676,792,0,0,0,0,0,0,0,0,51804,30416,19374,0,0,77860,20718,7861540,1474516,0,0,0,0,34028690,2512.14,2594,1611242,1270154,693610,277156,425752,258250,209300,166396,657786,28114,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206380,90120,244058.39,15220186,15220186,15081028,108735,5205776,55508,687720,14884748,1209600,0,,,,12228479.04,0,2635211.52,,,0,0,23300,623390,3970260,6261176,3351452,611388,41858,1924,,0,15220186,9056,1742,706848,2082288,448260,7130642,4464118,41788,6,0,,,,,,,,,,10058,3822,0,0,0,0,0,0,0,0,119830,192620,35928,0,0,422228,60684,9408060,6811276,0,0,0,0,42259520,,,2728288,2385810,1412126,596184,1215666,1018188,860954,717412,3248810,701310,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12960,469.01,43700,43700,58268,275,0,4182,43300,44944,1209600,690,0,6,0,24248.64,0,10031.04,0,22,0,1148,14434,15630,8898,4314,512,8,0,0,2,6,43700,10740,24,66,300,886,3170,28386,1348,24,0,10,46,23980,15896,0,0,0,0,25538,210,128,0,0,0,0,0,0,0,0,428,0,0,0,0,334,52,1000,112,0,0,0,0,0,176.68,88,12128,4622,978,692,9854,1614,2464,12592,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17160,465.26,53440,53440,75424,247,0,5266,53160,35594,1209600,966,8,16,0,23750.4,0,7984.32,0,24,0,14494,12014,1096,4140,3690,78,10,0,0,6,10,53440,3910,20,428,1344,3416,24704,1434,266,0,0,110,0,22894,15124,0,0,0,0,25000,84,104,0,0,0,0,0,0,0,0,366,0,0,0,0,404,68,920,92,0,0,0,0,0,267.3,88,12092,4878,580,340,876,750,2728,13278,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231600,179920,59379.58,4604588,4604588,4594668,20743,586234,92662,967240,4089358,1209600,0,,,,3307774.08,0,778262.4,0,712,0,0,1032,241630,1442074,1821072,558122,22284,2960,184,,0,4604588,6312,618,245852,343390,256108,2661506,551814,23596,162,0,,,,,,,,,,3322,240,0,0,0,0,0,0,0,0,39816,54966,9636,0,0,165034,48900,3950060,1013696,0,0,0,0,40598260,1329.32,1516,802594,582870,461444,285034,572854,447412,481054,318646,137370,80,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23460,10369.82,1287128,1287128,1261458,4612,2762,1852,69460,1037248,1209600,35000,0,84,0,707308.8,0,328006.08,0,0,0,0,0,1308,355044,526458,139054,13740,1602,42,20,24,1287128,3880,450,57268,148432,126522,526264,164638,9754,40,0,234,384,683920,8708,92,184,0,0,722788,1714,106,0,0,0,0,0,0,0,0,13314,9754,1688,0,0,34746,6230,75160,10552,0,0,0,0,0,1059.12,1108,343078,261836,92134,34278,78494,81952,63258,37058,44372,788,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17700,704.14,62582,62582,,166,,,62020,,1209600,,,,,44261.76,0,10571.52,,,0,0,0,35306,17642,1460,444,108,0,0,,,62582,160,34,184,2732,3820,27008,19570,1452,0,0,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,11422,7554,4572,8576,22662,174,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229680,48460,184227.57,19614450,19614450,4642414,19353,0,4342,233220,4395064,1209600,0,28,46,0,11473430.4,922627.2,6351928.32,48,522,0,0,3400,190394,1570150,1559650,400122,188692,177432,302884,10,0,19614450,5002,722,1274228,296098,241304,1384544,1178892,11930,4,0,450,116,2811192,871368,0,2,0,0,2872828,0,0,0,0,0,0,0,0,0,0,161316,0,0,0,0,0,0,0,0,118,0,0,0,0,1580.72,1546,1654282,708204,385686,178934,352310,172124,557568,381066,2370,180,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362340,231440,762958.1,46928678,46928678,58063226,264513,,,809460,53351602,1209600,,,,,39460076.16,0,6396803.52,,,598472,3427866,13985542,19947034,11835244,3217070,305942,32080,2320,32,,,46928678,44018,7646,3005974,2626958,22675436,24722062,269506,2,0,0,2568,9484,11671410,3283150,282,2846,0,0,12020128,,,,,,,,,,,382508,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212680,145680,38022.41,4428850,4428850,4436282,12589,304968,73358,788360,3800196,1209600,0,,,,2545464,0,1249176,0,0,0,0,0,23416,875052,1789580,985728,113756,12006,658,,0,4428850,7270,1062,5174,827192,583656,1787234,585070,3534,4,0,,,,,,,,,,8346,528,0,0,0,0,0,0,0,0,28452,16588,3464,0,0,111536,17706,9304180,1105198,0,0,0,0,2337700,2119.7,2408,1289220,996936,347124,128182,236586,156592,145760,139658,327286,32852,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174040,13932.32,997594,997594,999240,5222,2400,98514,995380,893562,1209600,25390,2,40,0,779748.48,0,113198.4,0,0,0,0,0,24540,284300,503982,74442,4798,1418,82,0,12,997594,1336,150,11364,62688,32862,473810,302542,8786,24,0,68,104,769110,51884,0,80,0,14,789008,630,86,0,0,0,0,0,0,0,0,5316,7330,4906,0,0,19874,5450,2765940,292080,70700,1450,0,0,302570,334,408,119820,160632,99146,51230,104518,138988,85820,62748,69630,1030,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141100,40109.88,3382256,3382256,3378556,13555,1062,91274,952580,2787834,1209600,64522,2,138,0,2368731.84,0,415675.2,0,0,0,0,0,202278,1286494,1168700,111878,15014,3312,158,6,14,3382256,6242,648,92284,185312,149242,1952124,386350,15602,30,0,156,194,2412250,118090,0,1726,0,26,2432186,2606,470,0,0,0,0,0,0,0,0,17320,48134,17650,0,0,45248,6854,9991660,1003224,0,0,0,0,109920,1339.08,1528,440204,431156,379820,302052,545048,328696,163656,111160,82686,3356,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27040,842.03,131040,131040,140450,517,0,12436,130020,107912,1209600,2134,0,14,0,46875.84,0,48853.44,6,38,0,9472,48008,5616,34854,9608,148,2,0,0,2,10,131040,14556,34,452,14964,20054,53992,3598,58,0,0,42,8,46784,15222,0,4,0,0,49416,242,116,0,0,0,0,0,0,0,0,1220,146,28,0,0,1484,288,1500,150,0,0,0,0,0,276.96,218,63286,10554,3060,1260,4132,3026,4676,17708,6,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40500,8.14,157372,157372,156022,0,0,15046,156260,119160,1209600,2506,,,,0,0,0,12,110,0,0,2502,32008,55458,15628,9116,3706,268,18,,20,157372,4826,84,92,13560,5118,11338,78100,5586,0,0,,,,,,,,,,482,188,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,537850,634.32,218,39040,16700,4218,1506,3800,5496,7834,39734,376,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,15.2,23894,23894,24736,28,0,2278,23720,7362,1209600,0,,,,2546.88,0,3763.2,2,26,0,0,0,396,5478,1408,26,10,0,0,,0,23894,1100,20,14,1334,262,1672,2368,518,30,0,,,,,,,,,,58,24,0,0,0,0,0,0,0,0,180,0,0,2276,418,52,16,7740,770,17512,44,0,0,0,120.46,50,4964,1930,328,28,48,12,8,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148020,28956.31,1977802,1977802,1979092,14824,7756,73414,762520,1818910,1209600,63114,2,52,0,1674839.04,0,141415.68,0,0,0,0,0,12346,324312,995122,457626,24808,4280,416,3968,4034,1977802,4270,442,33734,85574,85212,1269478,327148,12786,264,2,1510,2012,1572036,87284,0,5612,0,0,1690202,1306,398,0,0,0,0,0,0,0,0,15036,13888,2794,0,0,67206,11452,201460,74128,0,0,0,0,0,985.7,1120,154866,391512,243534,116206,257018,226866,190446,108864,111572,18026,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19440,596.13,91564,91564,90380,159,172,8550,90420,58570,1209600,3292,0,18,0,42020.16,17.28,15467.52,0,34,,,,,,,,,,,6,10,91564,,,,,,,,,,,134,312,41656,6544,0,222,0,0,43950,278,152,0,0,10,24,0,0,0,0,946,0,0,27108,6214,1916,358,3460,376,63934,66,0,0,0,362.36,252,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100100,31927.45,2023354,2023354,2005970,12768,328,78040,808380,1923224,1209600,35532,2,88,0,1577847.36,9552,334279.68,0,0,0,0,0,118434,1180516,567504,48922,6758,1090,0,46,54,2023354,3052,472,73304,226012,65676,1057566,486936,10108,96,2,852,788,1575152,205180,0,214,0,26,1590460,2016,316,0,0,190,9702,0,0,0,0,10804,2192,826,0,0,26514,8488,4926380,494748,1927544,502,0,0,2208390,894.02,940,361934,226936,113320,70932,160740,193754,188696,249178,354252,3482,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310700,13660,4912.06,289210,289210,293962,1054,76,28690,288680,273782,1209600,6690,,,,249409.92,0,23027.52,,,0,0,0,3816,65376,198234,5290,930,136,0,,8,289210,1338,30,11794,8936,9228,218942,21896,1618,0,0,288,250,225160,236,0,50,0,0,226834,182,28,0,0,0,0,0,0,0,0,790,844,310,0,0,6418,932,800,80,0,0,0,0,3912070,,,25882,34182,16884,11736,34002,52556,55618,28142,14730,50,0,0
